URL in opinion,CL ID,Case name,CL address,Date opinion was filed,Opinion download URL,Citation count
http://www.dol.gov/ebsa/pdf/preventiveserviceseligibleorganizationcertificationform.pdf,2681962,Wheaton College v. Sylvia Burwell,http://courtlistener.org/opinion/2681962/wheaton-college-v-sylvia-burwell/,2014-07-03,http://www.supremecourt.gov/opinions/13pdf/13a1284_ap6c.pdf,0
http://hrsa.gov/womensguidelines,2681962,Wheaton College v. Sylvia Burwell,http://courtlistener.org/opinion/2681962/wheaton-college-v-sylvia-burwell/,2014-07-03,http://www.supremecourt.gov/opinions/13pdf/13a1284_ap6c.pdf,0
http://www.bop.gov/locations/weekly_report.jsp,620567,Minneci v. Pollard,http://courtlistener.org/opinion/620567/minneci-v-pollard/,2012-01-10,http://www.supremecourt.gov/opinions/11pdf/10-1104.pdf,19
http://www.innocenceproject.org/Content/Facts_on_PostConviction_DNA_Exonerations.php,620671,Perry v. New Hampshire,http://courtlistener.org/opinion/620671/perry-v-new-hampshire/,2012-01-11,http://www.supremecourt.gov/opinions/11pdf/10-8974.pdf,43
http://www.ascap.com/,621044,Golan v. Holder,http://courtlistener.org/opinion/621044/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,4
http://ec.europa.eu/,621044,Golan v. Holder,http://courtlistener.org/opinion/621044/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,4
http://www.arl.org/bm,621044,Golan v. Holder,http://courtlistener.org/opinion/621044/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,4
http://ec.europa.eu/civil_service/docs/toc100_en.pdf,621045,Maples v. Thomas,http://courtlistener.org/opinion/621045/maples-v-thomas/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-63.pdf,37
http://www.ascap.com/,621090,Golan v. Holder,http://courtlistener.org/opinion/621090/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,1
http://ec.europa.eu/,621090,Golan v. Holder,http://courtlistener.org/opinion/621090/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,1
http://www.arl.org/bm,621090,Golan v. Holder,http://courtlistener.org/opinion/621090/golan-v-holder/,2012-01-18,http://www.supremecourt.gov/opinions/11pdf/10-545.pdf,1
http://www.ojp.usdoj.gov/newsroom/pressreleases/2011/SMART_PR-072811.htm,621294,Reynolds v. United States,http://courtlistener.org/opinion/621294/reynolds-v-united-states/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-6549.pdf,40
http://georgewbush-whitehouse.archives.gov/news/releases/2006/07/20060727-6.html.,621294,Reynolds v. United States,http://courtlistener.org/opinion/621294/reynolds-v-united-states/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-6549.pdf,40
http://www.ojp.usdoj.gov/newsroom/pressreleases/2009/SMART09154.htm.12,621294,Reynolds v. United States,http://courtlistener.org/opinion/621294/reynolds-v-united-states/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-6549.pdf,40
http://www.npr.org/series/114250076/the-end-of-privacy,621308,United States v. Jones,http://courtlistener.org/opinion/621308/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,19
http://googleblog.blogspot.com/2009/08/bright-side-of-sitting-in-traffic.html.,621308,United States v. Jones,http://courtlistener.org/opinion/621308/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,19
http://www.ctia.org/consumer_info/index.cfm/AID/10323.12,621308,United States v. Jones,http://courtlistener.org/opinion/621308/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,19
http://wheels.blogs.nytimes.com/2011/09/22/changes-to-onstars-privacy-terms-rile-some-users,621308,United States v. Jones,http://courtlistener.org/opinion/621308/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,19
http://www.npr.org/series/114250076/the-end-of-privacy,622304,United States v. Jones,http://courtlistener.org/opinion/622304/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,87
http://googleblog.blogspot.com/2009/08/bright-side-of-sitting-in-traffic.html.,622304,United States v. Jones,http://courtlistener.org/opinion/622304/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,87
http://www.ctia.org/consumer_info/index.cfm/AID/10323.12,622304,United States v. Jones,http://courtlistener.org/opinion/622304/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,87
http://wheels.blogs.nytimes.com/2011/09/22/changes-to-onstars-privacy-terms-rile-some-users,622304,United States v. Jones,http://courtlistener.org/opinion/622304/united-states-v-jones/,2012-01-23,http://www.supremecourt.gov/opinions/11pdf/10-1259.pdf,87
http://www.cms.gov/SMDL/downloads/SMD010201.pdf,623240,"Douglas v. Independent Living Center of Southern Cal., Inc.",http://courtlistener.org/opinion/623240/douglas-v-independent-living-center-of-southern-ca/,2012-02-22,http://www.supremecourt.gov/opinions/11pdf/09-958.pdf,0
http://www.rr-fallenflags.org/manual/blh-6em.html,623843,Kurns v. Railroad Friction Products Corp.,http://courtlistener.org/opinion/623843/kurns-v-railroad-friction-products-corp/,2012-02-29,http://www.supremecourt.gov/opinions/11pdf/10-879.pdf,0
http://www.dol.gov/owcp/dlhwc/ls-206.pdf.,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.dol.gov/owcp/dlhwc/LS-560pam.htm;Dept.,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.dol.gov/owcp/dlhwc/NAWWinfo.htm(all,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.dol.gov/owcp/dlhwc/lspm/lspm2-201.htm,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.dol.gov/owcp/dlhwc/lspm/lspm8,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.dol.gov/owcp/dlhwc/lspm/lspm2,625709,"Roberts v. Sea-Land Services, Inc.",http://courtlistener.org/opinion/625709/roberts-v-sea-land-services-inc/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1399.pdf,2
http://www.patentlyo.com/files/eisenberg.wisdomordeadhand.patentlyo.pdf,625710,"Mayo Collaborative Services v. Prometheus Laboratories, Inc.",http://courtlistener.org/opinion/625710/mayo-collaborative-services-v-prometheus-laborator/,2012-03-20,http://www.supremecourt.gov/opinions/11pdf/10-1150.pdf,4
